Detector,Descriptor,ImgIndex,DetectionTime(ms),KeypointsFound,NeighborhoodSize,ExtractionTime(ms),Matches
SHITOMASI,BRIEF,0,13.0359,125,4,0.709458,
SHITOMASI,BRIEF,1,7.46992,118,4,0.539542,115,
SHITOMASI,BRIEF,2,5.96638,123,4,0.499792,111,
SHITOMASI,BRIEF,3,5.79563,120,4,0.3785,104,
SHITOMASI,BRIEF,4,5.12929,120,4,0.3625,101,
SHITOMASI,BRIEF,5,5.65246,113,4,0.317708,102,
SHITOMASI,BRIEF,6,4.16246,114,4,0.312792,102,
SHITOMASI,BRIEF,7,4.55483,123,4,0.372208,100,
SHITOMASI,BRIEF,8,5.87575,111,4,0.392625,109,
SHITOMASI,BRIEF,9,4.54917,112,4,0.339708,100,
SHITOMASI,BRISK,0,5.09871,125,4,10.3882,
SHITOMASI,BRISK,1,5.24708,118,4,9.4455,95,
SHITOMASI,BRISK,2,4.45804,123,4,9.08733,88,
SHITOMASI,BRISK,3,4.40908,120,4,8.90221,80,
SHITOMASI,BRISK,4,4.81871,120,4,8.58325,90,
SHITOMASI,BRISK,5,4.5665,113,4,9.67229,82,
SHITOMASI,BRISK,6,4.82208,114,4,8.83871,79,
SHITOMASI,BRISK,7,4.55508,123,4,9.03388,85,
SHITOMASI,BRISK,8,4.88296,111,4,8.74817,86,
SHITOMASI,BRISK,9,4.28771,112,4,8.65312,82,
SHITOMASI,ORB,0,3.87883,125,4,2.49896,
SHITOMASI,ORB,1,4.39079,118,4,0.705875,104,
SHITOMASI,ORB,2,3.72583,123,4,0.631667,103,
SHITOMASI,ORB,3,4.93804,120,4,0.753458,100,
SHITOMASI,ORB,4,3.83492,120,4,0.628917,102,
SHITOMASI,ORB,5,4.51354,113,4,0.686958,103,
SHITOMASI,ORB,6,4.09696,114,4,0.769792,98,
SHITOMASI,ORB,7,4.77317,123,4,0.669625,98,
SHITOMASI,ORB,8,5.23425,111,4,0.6635,102,
SHITOMASI,ORB,9,4.61067,112,4,0.655,97,
SHITOMASI,FREAK,0,4.49471,125,4,12.7558,
SHITOMASI,FREAK,1,4.784,118,4,8.08692,90,
SHITOMASI,FREAK,2,5.48875,123,4,8.12925,88,
SHITOMASI,FREAK,3,4.662,120,4,8.33708,87,
SHITOMASI,FREAK,4,4.68125,120,4,8.08937,89,
SHITOMASI,FREAK,5,4.2095,113,4,8.17454,83,
SHITOMASI,FREAK,6,4.7725,114,4,7.88912,78,
SHITOMASI,FREAK,7,3.75513,123,4,8.2165,81,
SHITOMASI,FREAK,8,3.79696,111,4,7.85217,86,
SHITOMASI,FREAK,9,4.63846,112,4,7.50375,84,
SHITOMASI,SIFT,0,4.48937,125,4,7.80742,
SHITOMASI,SIFT,1,5.39346,118,4,6.93088,112,
SHITOMASI,SIFT,2,4.35,123,4,6.58292,109,
SHITOMASI,SIFT,3,5.4115,120,4,7.58029,104,
SHITOMASI,SIFT,4,4.41971,120,4,6.67917,103,
SHITOMASI,SIFT,5,4.78804,113,4,10.1814,99,
SHITOMASI,SIFT,6,4.47825,114,4,6.40508,101,
SHITOMASI,SIFT,7,4.97008,123,4,7.57946,96,
SHITOMASI,SIFT,8,4.41304,111,4,6.65133,106,
SHITOMASI,SIFT,9,4.53679,112,4,6.67283,97,
HARRIS,BRIEF,0,4.98575,18,6,0.215542,
HARRIS,BRIEF,1,4.75,16,6,0.311458,14,
HARRIS,BRIEF,2,5.35846,20,6,0.255417,14,
HARRIS,BRIEF,3,4.726,20,6,0.391708,15,
HARRIS,BRIEF,4,5.15017,26,6,0.213292,19,
HARRIS,BRIEF,5,10.649,54,6,0.347833,24,
HARRIS,BRIEF,6,4.41046,17,6,0.208083,30,
HARRIS,BRIEF,7,5.17888,33,6,0.22275,15,
HARRIS,BRIEF,8,4.53229,27,6,0.214708,26,
HARRIS,BRIEF,9,5.99192,37,6,0.227542,25,
HARRIS,BRISK,0,5.12521,18,6,8.28021,
HARRIS,BRISK,1,5.16104,16,6,8.85071,9,
HARRIS,BRISK,2,5.27879,20,6,8.6595,12,
HARRIS,BRISK,3,5.11454,20,6,8.53042,14,
HARRIS,BRISK,4,5.31937,26,6,8.42921,16,
HARRIS,BRISK,5,11.2459,54,6,9.12671,17,
HARRIS,BRISK,6,5.39867,17,6,7.8345,15,
HARRIS,BRISK,7,5.56683,33,6,7.1585,11,
HARRIS,BRISK,8,4.72213,27,6,7.33621,22,
HARRIS,BRISK,9,6.30112,37,6,7.30329,17,
HARRIS,ORB,0,5.32167,18,6,0.629375,
HARRIS,ORB,1,5.06658,16,6,0.634375,10,
HARRIS,ORB,2,4.49525,20,6,0.538167,11,
HARRIS,ORB,3,4.55246,20,6,0.6165,12,
HARRIS,ORB,4,5.22479,26,6,0.560083,14,
HARRIS,ORB,5,10.1484,54,6,0.564958,13,
HARRIS,ORB,6,4.09908,17,6,0.528542,12,
HARRIS,ORB,7,4.83037,33,6,0.589958,5,
HARRIS,ORB,8,4.49908,27,6,0.545917,22,
HARRIS,ORB,9,5.92046,37,6,0.5395,19,
HARRIS,FREAK,0,5.15204,18,6,7.45392,
HARRIS,FREAK,1,5.10962,16,6,6.99079,14,
HARRIS,FREAK,2,5.22,20,6,7.27175,14,
HARRIS,FREAK,3,4.37117,20,6,6.95721,14,
HARRIS,FREAK,4,4.52658,26,6,7.07542,18,
HARRIS,FREAK,5,10.172,54,6,7.11283,15,
HARRIS,FREAK,6,4.07325,17,6,6.93658,12,
HARRIS,FREAK,7,4.73017,33,6,7.03262,8,
HARRIS,FREAK,8,4.39975,27,6,7.00042,22,
HARRIS,FREAK,9,5.90042,37,6,7.00383,19,
HARRIS,SIFT,0,4.97629,18,6,6.59604,
HARRIS,SIFT,1,4.99733,16,6,5.46496,13,
HARRIS,SIFT,2,5.56125,20,6,8.28904,11,
HARRIS,SIFT,3,5.37742,20,6,6.71275,15,
